Age	Conference	Date	Draft Year	Player	Position	Season	Team
26	NOVALUES	17-Nov-91	1986	BradDaugherty	C	1991-1992	ClevelandCavaliers
28	NOVALUES	10-Nov-91	1985	ChrisMullin	SF	1991-1992	GoldenStateWarriors
23	NOVALUES	25-Apr-93	1991	LarryJohnson	F	1992-1993	CharlotteHornets
23	NOVALUES	18-Apr-93	1992	AlonzoMourning	C	1992-1993	CharlotteHornets
30	NOVALUES	11-Apr-93	1984	HakeemOlajuwon	C	1992-1993	HoustonRockets
30	NOVALUES	4-Apr-93	1984	CharlesBarkley	PF	1992-1993	PhoenixSuns
26	NOVALUES	28-Mar-93	1991	DikembeMutombo	C	1992-1993	DenverNuggets
30	NOVALUES	21-Mar-93	1985	PatrickEwing	C	1992-1993	NewYorkKnicks
26	NOVALUES	14-Mar-93	1990	RumealRobinson	PG	1992-1993	NewJerseyNets
27	NOVALUES	7-Mar-93	1988	RonySeikaly	C	1992-1993	MiamiHeat
30	NOVALUES	28-Feb-93	1984	HakeemOlajuwon	C	1992-1993	HoustonRockets
23	NOVALUES	14-Feb-93	1991	LarryJohnson	F	1992-1993	CharlotteHornets
25	NOVALUES	7-Feb-93	1989	NickAnderson	GF	1992-1993	OrlandoMagic
29	NOVALUES	31-Jan-93	1985	KarlMalone	PF	1992-1993	UtahJazz
30	NOVALUES	24-Jan-93	1985	PatrickEwing	C	1992-1993	NewYorkKnicks
30	NOVALUES	17-Jan-93	1984	HakeemOlajuwon	C	1992-1993	HoustonRockets
23	NOVALUES	10-Jan-93	1989	ShawnKemp	C	1992-1993	SeattleSuperSonics
27	NOVALUES	3-Jan-93	1987	DavidRobinson	C	1992-1993	SanAntonioSpurs
25	NOVALUES	27-Dec-92	1989	SeanElliott	SF	1992-1993	SanAntonioSpurs
30	NOVALUES	20-Dec-92	1985	PatrickEwing	C	1992-1993	NewYorkKnicks
30	NOVALUES	13-Dec-92	1984	CharlesBarkley	PF	1992-1993	PhoenixSuns
28	NOVALUES	6-Dec-92	1986	DrazenPetrovic	SG	1992-1993	NewJerseyNets
27	NOVALUES	29-Nov-92	1987	DavidRobinson	C	1992-1993	SanAntonioSpurs
30	NOVALUES	22-Nov-92	1984	MichaelJordan	SG	1992-1993	ChicagoBulls
20	NOVALUES	15-Nov-92	1992	ShaquilleO'Neal	C	1992-1993	OrlandoMagic
28	NOVALUES	24-Apr-94	1987	DavidRobinson	C	1993-1994	SanAntonioSpurs
28	NOVALUES	17-Apr-94	1987	ScottiePippen	SF	1993-1994	ChicagoBulls
27	NOVALUES	10-Apr-94	1991	DikembeMutombo	C	1993-1994	DenverNuggets
24	NOVALUES	3-Apr-94	1989	ShawnKemp	C	1993-1994	SeattleSuperSonics
31	NOVALUES	27-Mar-94	1984	KevinWillis	C	1993-1994	AtlantaHawks
31	NOVALUES	20-Mar-94	1984	HakeemOlajuwon	C	1993-1994	HoustonRockets
30	NOVALUES	13-Mar-94	1985	JoeDumars	SG	1993-1994	DetroitPistons
28	NOVALUES	6-Mar-94	1987	DavidRobinson	C	1993-1994	SanAntonioSpurs
24	NOVALUES	27-Feb-94	1989	ShawnKemp	C	1993-1994	SeattleSuperSonics
28	NOVALUES	20-Feb-94	1987	DavidRobinson	C	1993-1994	SanAntonioSpurs
28	NOVALUES	6-Feb-94	1987	DavidRobinson	C	1993-1994	SanAntonioSpurs
30	NOVALUES	30-Jan-94	1986	RonHarper	SG	1993-1994	LosAngelesClippers
23	NOVALUES	23-Jan-94	1991	KennyAnderson	PG	1993-1994	NewJerseyNets
31	NOVALUES	16-Jan-94	1985	PatrickEwing	C	1993-1994	NewYorkKnicks
20	NOVALUES	9-Jan-94	1993	ChrisWebber	F-C	1993-1994	GoldenStateWarriors
23	NOVALUES	2-Jan-94	1992	OliverMiller	C	1993-1994	PhoenixSuns
28	NOVALUES	26-Dec-93	1987	ScottiePippen	SF	1993-1994	ChicagoBulls
30	NOVALUES	19-Dec-93	1985	KarlMalone	PF	1993-1994	UtahJazz
21	NOVALUES	12-Dec-93	1992	ShaquilleO'Neal	C	1993-1994	OrlandoMagic
28	NOVALUES	5-Dec-93	1987	DavidRobinson	C	1993-1994	SanAntonioSpurs
26	NOVALUES	28-Nov-93	1989	GlenRice	SF	1993-1994	MiamiHeat
31	NOVALUES	21-Nov-93	1984	CharlesBarkley	PF	1993-1994	PhoenixSuns
31	NOVALUES	14-Nov-93	1984	HakeemOlajuwon	C	1993-1994	HoustonRockets
31	NOVALUES	23-Apr-95	1985	KarlMalone	PF	1994-1995	UtahJazz
28	NOVALUES	16-Apr-95	1991	DikembeMutombo	C	1994-1995	DenverNuggets
32	NOVALUES	9-Apr-95	1983	ClydeDrexler	SG	1994-1995	HoustonRockets
29	NOVALUES	2-Apr-95	1987	DavidRobinson	C	1994-1995	SanAntonioSpurs
27	NOVALUES	26-Mar-95	1989	VladeDivac	C	1994-1995	LosAngelesLakers
21	NOVALUES	19-Mar-95	1994	JasonKidd	PG	1994-1995	DallasMavericks
28	NOVALUES	12-Mar-95	1988	RikSmits	C	1994-1995	IndianaPacers
22	NOVALUES	5-Mar-95	1992	ShaquilleO'Neal	C	1994-1995	OrlandoMagic
28	NOVALUES	26-Feb-95	1988	RodStrickland	PG	1994-1995	PortlandTrailBlazers
32	NOVALUES	19-Feb-95	1984	CharlesBarkley	PF	1994-1995	PhoenixSuns
32	NOVALUES	5-Feb-95	1984	HakeemOlajuwon	C	1994-1995	HoustonRockets
32	NOVALUES	29-Jan-95	1984	JohnStockton	PG	1994-1995	UtahJazz
32	NOVALUES	22-Jan-95	1985	PatrickEwing	C	1994-1995	NewYorkKnicks
25	NOVALUES	15-Jan-95	1991	LarryJohnson	F	1994-1995	CharlotteHornets
26	NOVALUES	8-Jan-95	1990	GaryPayton	G	1994-1995	SeattleSuperSonics
32	NOVALUES	1-Jan-95	1984	HakeemOlajuwon	C	1994-1995	HoustonRockets
25	NOVALUES	25-Dec-94	1990	CedricCeballos	SF	1994-1995	LosAngelesLakers
31	NOVALUES	18-Dec-94	1985	KarlMalone	PF	1994-1995	UtahJazz
22	NOVALUES	11-Dec-94	1993	JamalMashburn	SF	1994-1995	DallasMavericks
22	NOVALUES	4-Dec-94	1992	ShaquilleO'Neal	C	1994-1995	OrlandoMagic
23	NOVALUES	27-Nov-94	1993	PennyHardaway	PG	1994-1995	OrlandoMagic
25	NOVALUES	20-Nov-94	1991	ElliotPerry	PG	1994-1995	PhoenixSuns
28	NOVALUES	13-Nov-94	1989	TimHardaway	PG	1994-1995	GoldenStateWarriors
27	NOVALUES	21-Apr-96	1990	DennisScott	SF	1995-1996	OrlandoMagic
23	NOVALUES	14-Apr-96	1994	JuwanHoward	PF	1995-1996	WashingtonBullets
29	NOVALUES	7-Apr-96	1987	KevinJohnson	PG	1995-1996	PhoenixSuns
31	NOVALUES	31-Mar-96	1985	ArvydasSabonis	C	1995-1996	PortlandTrailBlazers
28	NOVALUES	24-Mar-96	1991	ChrisGatling	PF	1995-1996	MiamiHeat
23	NOVALUES	17-Mar-96	1994	GrantHill	SF	1995-1996	DetroitPistons
33	NOVALUES	10-Mar-96	1984	MichaelJordan	SG	1995-1996	ChicagoBulls
23	NOVALUES	3-Mar-96	1992	ShaquilleO'Neal	C	1995-1996	OrlandoMagic
33	NOVALUES	3-Mar-96	1984	HakeemOlajuwon	C	1995-1996	HoustonRockets
26	NOVALUES	25-Feb-96	1989	ShawnKemp	C	1995-1996	SeattleSuperSonics
31	NOVALUES	18-Feb-96	1987	ArmenGilliam	PF	1995-1996	NewJerseyNets
22	NOVALUES	4-Feb-96	1994	JasonKidd	PG	1995-1996	DallasMavericks
30	NOVALUES	28-Jan-96	1987	ReggieMiller	SG	1995-1996	IndianaPacers
33	NOVALUES	21-Jan-96	1984	MichaelJordan	SG	1995-1996	ChicagoBulls
30	NOVALUES	14-Jan-96	1987	DavidRobinson	C	1995-1996	SanAntonioSpurs
29	NOVALUES	7-Jan-96	1989	CliffRobinson	PF	1995-1996	PortlandTrailBlazers
32	NOVALUES	31-Dec-95	1985	KarlMalone	PF	1995-1996	UtahJazz
33	NOVALUES	24-Dec-95	1984	MichaelJordan	SG	1995-1996	ChicagoBulls
30	NOVALUES	17-Dec-95	1987	ScottiePippen	SF	1995-1996	ChicagoBulls
29	NOVALUES	10-Dec-95	1991	DikembeMutombo	C	1995-1996	DenverNuggets
25	NOVALUES	3-Dec-95	1991	TerrellBrandon	PG	1995-1996	ClevelandCavaliers
26	NOVALUES	26-Nov-95	1989	ShawnKemp	C	1995-1996	SeattleSuperSonics
26	NOVALUES	19-Nov-95	1990	CedricCeballos	SF	1995-1996	LosAngelesLakers
24	NOVALUES	12-Nov-95	1993	PennyHardaway	PG	1995-1996	OrlandoMagic
24	NOVALUES	20-Apr-97	1993	ChrisWebber	F-C	1996-1997	WashingtonBullets
21	NOVALUES	13-Apr-97	1996	AllenIverson	G	1996-1997	PhiladelphiaSixers
24	NOVALUES	6-Apr-97	1994	GrantHill	SF	1996-1997	DetroitPistons
30	NOVALUES	30-Mar-97	1987	KevinJohnson	PG	1996-1997	PhoenixSuns
33	NOVALUES	23-Mar-97	1985	KarlMalone	PF	1996-1997	UtahJazz
33	NOVALUES	16-Mar-97	1985	KarlMalone	PF	1996-1997	UtahJazz
34	NOVALUES	9-Mar-97	1985	PatrickEwing	C	1996-1997	NewYorkKnicks
30	NOVALUES	2-Mar-97	1990	LoyVaught	PF	1996-1997	LosAngelesClippers
31	NOVALUES	23-Feb-97	1987	ScottiePippen	SF	1996-1997	ChicagoBulls
27	NOVALUES	16-Feb-97	1992	AlonzoMourning	C	1996-1997	MiamiHeat
29	NOVALUES	2-Feb-97	1989	GlenRice	SF	1996-1997	CharlotteHornets
31	NOVALUES	26-Jan-97	1988	MitchRichmond	SG	1996-1997	SacramentoKings
24	NOVALUES	19-Jan-97	1994	GrantHill	SF	1996-1997	DetroitPistons
24	NOVALUES	12-Jan-97	1994	GlennRobinson	SF	1996-1997	MilwaukeeBucks
29	NOVALUES	5-Jan-97	1989	GlenRice	SF	1996-1997	CharlotteHornets
30	NOVALUES	29-Dec-96	1989	TimHardaway	PG	1996-1997	MiamiHeat
26	NOVALUES	22-Dec-96	1991	TerrellBrandon	PG	1996-1997	ClevelandCavaliers
24	NOVALUES	15-Dec-96	1992	ShaquilleO'Neal	C	1996-1997	LosAngelesLakers
29	NOVALUES	8-Dec-96	1990	TerryMills	PF	1996-1997	DetroitPistons
30	NOVALUES	1-Dec-96	1991	DikembeMutombo	C	1996-1997	AtlantaHawks
34	NOVALUES	24-Nov-96	1984	CharlesBarkley	PF	1996-1997	HoustonRockets
33	NOVALUES	24-Nov-96	1985	KarlMalone	PF	1996-1997	UtahJazz
36	NOVALUES	17-Nov-96	1983	DaleEllis	GF	1996-1997	DenverNuggets
34	NOVALUES	10-Nov-96	1984	HakeemOlajuwon	C	1996-1997	HoustonRockets
24	NOVALUES	19-Apr-98	1994	JasonKidd	PG	1997-1998	PhoenixSuns
28	NOVALUES	12-Apr-98	1993	SamCassell	G	1997-1998	NewJerseyNets
35	NOVALUES	5-Apr-98	1984	MichaelJordan	SG	1997-1998	ChicagoBulls
28	NOVALUES	29-Mar-98	1992	AlonzoMourning	C	1997-1998	MiamiHeat
25	NOVALUES	22-Mar-98	1992	ShaquilleO'Neal	C	1997-1998	LosAngelesLakers
24	NOVALUES	15-Mar-98	1994	JasonKidd	PG	1997-1998	PhoenixSuns
34	NOVALUES	8-Mar-98	1985	KarlMalone	PF	1997-1998	UtahJazz
21	NOVALUES	1-Mar-98	1997	TimDuncan	FC	1997-1998	SanAntonioSpurs
30	NOVALUES	22-Feb-98	1989	NickAnderson	GF	1997-1998	OrlandoMagic
34	NOVALUES	15-Feb-98	1985	KarlMalone	PF	1997-1998	UtahJazz
32	NOVALUES	1-Feb-98	1987	DavidRobinson	C	1997-1998	SanAntonioSpurs
30	NOVALUES	25-Jan-98	1990	JaysonWilliams	FC	1997-1998	NewJerseyNets
22	NOVALUES	18-Jan-98	1996	AllenIverson	G	1997-1998	PhiladelphiaSixers
28	NOVALUES	11-Jan-98	1991	SteveSmith	SG	1997-1998	AtlantaHawks
31	NOVALUES	4-Jan-98	1988	RikSmits	C	1997-1998	IndianaPacers
32	NOVALUES	28-Dec-97	1987	DavidRobinson	C	1997-1998	SanAntonioSpurs
35	NOVALUES	21-Dec-97	1984	MichaelJordan	SG	1997-1998	ChicagoBulls
30	NOVALUES	14-Dec-97	1989	GlenRice	SF	1997-1998	CharlotteHornets
26	NOVALUES	7-Dec-97	1994	WesleyPerson	SG	1997-1998	ClevelandCavaliers
34	NOVALUES	30-Nov-97	1985	KarlMalone	PF	1997-1998	UtahJazz
35	NOVALUES	23-Nov-97	1984	MichaelJordan	SG	1997-1998	ChicagoBulls
25	NOVALUES	16-Nov-97	1992	ShaquilleO'Neal	C	1997-1998	LosAngelesLakers
31	NOVALUES	9-Nov-97	1991	DikembeMutombo	C	1997-1998	AtlantaHawks
26	NOVALUES	2-May-99	1994	GrantHill	SF	1998-1999	DetroitPistons
25	NOVALUES	25-Apr-99	1993	ChrisWebber	F-C	1998-1999	SacramentoKings
25	NOVALUES	18-Apr-99	1994	JasonKidd	PG	1998-1999	PhoenixSuns
35	NOVALUES	11-Apr-99	1985	KarlMalone	PF	1998-1999	UtahJazz
22	NOVALUES	4-Apr-99	1995	KevinGarnett	PF	1998-1999	MinnesotaTimberwolves
30	NOVALUES	28-Mar-99	1991	DarrellArmstrong	PG	1998-1999	OrlandoMagic
22	NOVALUES	21-Mar-99	1998	VinceCarter	SF	1998-1999	TorontoRaptors
29	NOVALUES	14-Mar-99	1992	AlonzoMourning	C	1998-1999	MiamiHeat
22	NOVALUES	7-Mar-99	1997	TimDuncan	FC	1998-1999	SanAntonioSpurs
24	NOVALUES	28-Feb-99	1995	AntonioMcDyess	F	1998-1999	DenverNuggets
22	NOVALUES	21-Feb-99	1996	StephonMarbury	G	1998-1999	MinnesotaTimberwolves
30	NOVALUES	14-Feb-99	1990	GaryPayton	G	1998-1999	SeattleSuperSonics
32	NOVALUES	7-Feb-99	1991	DikembeMutombo	C	1998-1999	AtlantaHawks
21	NOVALUES	17-Apr-00	1996	KobeBryant	SG	1999-2000	LosAngelesLakers
30	NOVALUES	10-Apr-00	1992	AlonzoMourning	C	1999-2000	MiamiHeat
23	NOVALUES	3-Apr-00	1997	TimDuncan	FC	1999-2000	SanAntonioSpurs
23	NOVALUES	27-Mar-00	1995	KevinGarnett	PF	1999-2000	MinnesotaTimberwolves
27	NOVALUES	20-Mar-00	1994	JalenRose	G	1999-2000	IndianaPacers
27	NOVALUES	13-Mar-00	1992	ShaquilleO'Neal	C	1999-2000	LosAngelesLakers
36	NOVALUES	6-Mar-00	1985	KarlMalone	PF	1999-2000	UtahJazz
23	NOVALUES	28-Feb-00	1998	VinceCarter	SF	1999-2000	TorontoRaptors
27	NOVALUES	22-Feb-00	1992	ShaquilleO'Neal	C	1999-2000	LosAngelesLakers
26	NOVALUES	7-Feb-00	1995	MichaelFinley	G-F	1999-2000	DallasMavericks
33	NOVALUES	31-Jan-00	1991	DikembeMutombo	C	1999-2000	AtlantaHawks
23	NOVALUES	24-Jan-00	1999	SteveFrancis	G	1999-2000	HoustonRockets
27	NOVALUES	17-Jan-00	1993	ChrisWebber	F-C	1999-2000	SacramentoKings
27	NOVALUES	10-Jan-00	1994	GrantHill	SF	1999-2000	DetroitPistons
27	NOVALUES	3-Jan-00	1993	ChrisWebber	F-C	1999-2000	SacramentoKings
23	NOVALUES	27-Dec-99	1995	KevinGarnett	PF	1999-2000	MinnesotaTimberwolves
26	NOVALUES	20-Dec-99	1994	JasonKidd	PG	1999-2000	PhoenixSuns
30	NOVALUES	13-Dec-99	1992	AlonzoMourning	C	1999-2000	MiamiHeat
27	NOVALUES	5-Dec-99	1992	ShaquilleO'Neal	C	1999-2000	LosAngelesLakers
23	NOVALUES	28-Nov-99	1997	TimDuncan	FC	1999-2000	SanAntonioSpurs
23	NOVALUES	21-Nov-99	1998	VinceCarter	SF	1999-2000	TorontoRaptors
23	NOVALUES	14-Nov-99	1995	KevinGarnett	PF	1999-2000	MinnesotaTimberwolves
30	NOVALUES	7-Nov-99	1993	SamCassell	G	1999-2000	MilwaukeeBucks
25	NOVALUES	15-Apr-01	1996	RayAllen	SG	2000-2001	MilwaukeeBucks
28	NOVALUES	8-Apr-01	1992	ShaquilleO'Neal	C	2000-2001	LosAngelesLakers
27	NOVALUES	1-Apr-01	1994	JasonKidd	PG	2000-2001	PhoenixSuns
23	NOVALUES	25-Mar-01	1998	PaulPierce	SF	2000-2001	BostonCeltics
25	NOVALUES	18-Mar-01	1998	CuttinoMobley	G	2000-2001	HoustonRockets
26	NOVALUES	11-Mar-01	1997	DerekAnderson	G	2000-2001	SanAntonioSpurs
24	NOVALUES	4-Mar-01	1998	VinceCarter	SF	2000-2001	TorontoRaptors
22	NOVALUES	25-Feb-01	1999	ShawnMarion	F	2000-2001	PhoenixSuns
25	NOVALUES	18-Feb-01	1996	AllenIverson	G	2000-2001	PhiladelphiaSixers
32	NOVALUES	4-Feb-01	1991	DarrellArmstrong	PG	2000-2001	OrlandoMagic
24	NOVALUES	28-Jan-01	1997	TimDuncan	FC	2000-2001	SanAntonioSpurs
28	NOVALUES	22-Jan-01	1993	ChrisWebber	F-C	2000-2001	SacramentoKings
24	NOVALUES	14-Jan-01	1999	SteveFrancis	G	2000-2001	HoustonRockets
25	NOVALUES	7-Jan-01	1996	AllenIverson	G	2000-2001	PhiladelphiaSixers
28	NOVALUES	31-Dec-00	1994	AaronMcKie	G	2000-2001	PhiladelphiaSixers
22	NOVALUES	24-Dec-00	1996	KobeBryant	SG	2000-2001	LosAngelesLakers
28	NOVALUES	17-Dec-00	1994	GlennRobinson	SF	2000-2001	MilwaukeeBucks
28	NOVALUES	10-Dec-00	1993	ChrisWebber	F-C	2000-2001	SacramentoKings
26	NOVALUES	3-Dec-00	1995	AntonioMcDyess	F	2000-2001	DenverNuggets
21	NOVALUES	26-Nov-00	1999	BaronDavis	G	2000-2001	CharlotteHornets
24	NOVALUES	19-Nov-00	1995	KevinGarnett	PF	2000-2001	MinnesotaTimberwolves
24	NOVALUES	12-Nov-00	1996	StephonMarbury	G	2000-2001	NewJerseyNets
37	NOVALUES	6-Nov-00	1985	KarlMalone	PF	2000-2001	UtahJazz
38	NOVALUES	6-Nov-00	1984	JohnStockton	PG	2000-2001	UtahJazz
24	East	7-Apr-02	1998	PaulPierce	SF	2001-2002	BostonCeltics
25	West	7-Apr-02	1997	TimDuncan	FC	2001-2002	SanAntonioSpurs
27	East	31-Mar-02	1996	BenWallace	FC	2001-2002	DetroitPistons
23	West	31-Mar-02	1999	ShawnMarion	F	2001-2002	PhoenixSuns
28	East	24-Mar-02	1994	JasonKidd	PG	2001-2002	NewJerseyNets
25	West	24-Mar-02	1997	TimDuncan	FC	2001-2002	SanAntonioSpurs
22	East	17-Mar-02	1997	TracyMcGrady	GF	2001-2002	OrlandoMagic
25	West	17-Mar-02	1997	TimDuncan	FC	2001-2002	SanAntonioSpurs
29	East	10-Mar-02	1995	KurtThomas	FC	2001-2002	NewYorkKnicks
29	West	10-Mar-02	1992	ShaquilleO'Neal	C	2001-2002	LosAngelesLakers
26	East	3-Mar-02	1996	AllenIverson	G	2001-2002	PhiladelphiaSixers
27	West	3-Mar-02	1995	RasheedWallace	FC	2001-2002	PortlandTrailBlazers
27	East	24-Feb-02	1996	BenWallace	FC	2001-2002	DetroitPistons
29	West	24-Feb-02	1992	ShaquilleO'Neal	C	2001-2002	LosAngelesLakers
25	East	17-Feb-02	1999	AndreMiller	PG	2001-2002	ClevelandCavaliers
38	West	17-Feb-02	1985	KarlMalone	PF	2001-2002	UtahJazz
28	East	3-Feb-02	1994	JasonKidd	PG	2001-2002	NewJerseyNets
29	West	3-Feb-02	1992	ShaquilleO'Neal	C	2001-2002	LosAngelesLakers
26	East	27-Jan-02	1996	AllenIverson	G	2001-2002	PhiladelphiaSixers
23	West	27-Jan-02	1998	DirkNowitzki	PF	2001-2002	DallasMavericks
26	East	20-Jan-02	1996	AllenIverson	G	2001-2002	PhiladelphiaSixers
23	West	20-Jan-02	1996	KobeBryant	SG	2001-2002	LosAngelesLakers
26	East	13-Jan-02	1996	RayAllen	SG	2001-2002	MilwaukeeBucks
25	West	13-Jan-02	1995	KevinGarnett	PF	2001-2002	MinnesotaTimberwolves
30	East	6-Jan-02	1994	EddieJones	G-F	2001-2002	MiamiHeat
28	West	6-Jan-02	1993	ChrisWebber	F-C	2001-2002	SacramentoKings
28	East	30-Dec-01	1994	JasonKidd	PG	2001-2002	NewJerseyNets
25	West	30-Dec-01	1997	TimDuncan	FC	2001-2002	SanAntonioSpurs
23	East	23-Dec-01	1996	JermaineO'Neal	FC	2001-2002	IndianaPacers
33	West	23-Dec-01	1990	GaryPayton	G	2001-2002	SeattleSuperSonics
24	East	16-Dec-01	1999	RichardHamilton	SG	2001-2002	WashingtonWizards
28	West	16-Dec-01	1996	SteveNash	G	2001-2002	DallasMavericks
25	East	9-Dec-01	1999	AndreMiller	PG	2001-2002	ClevelandCavaliers
22	West	9-Dec-01	1999	EltonBrand	PF	2001-2002	LosAngelesClippers
24	East	2-Dec-01	1998	PaulPierce	SF	2001-2002	BostonCeltics
25	West	2-Dec-01	1996	StephonMarbury	G	2001-2002	PhoenixSuns
25	East	25-Nov-01	1996	ShareefAbdur-Rahim	F	2001-2002	AtlantaHawks
25	West	25-Nov-01	1997	TimDuncan	FC	2001-2002	SanAntonioSpurs
26	East	18-Nov-01	1996	AllenIverson	G	2001-2002	PhiladelphiaSixers
25	West	18-Nov-01	1995	KevinGarnett	PF	2001-2002	MinnesotaTimberwolves
25	East	11-Nov-01	1998	VinceCarter	SF	2001-2002	TorontoRaptors
25	West	11-Nov-01	1997	TimDuncan	FC	2001-2002	SanAntonioSpurs
26	East	4-Nov-01	1996	RayAllen	SG	2001-2002	MilwaukeeBucks
23	West	4-Nov-01	1996	KobeBryant	SG	2001-2002	LosAngelesLakers
23	East	13-Apr-03	1997	TracyMcGrady	GF	2002-2003	OrlandoMagic
24	West	13-Apr-03	1999	ShawnMarion	F	2002-2003	PhoenixSuns
29	East	6-Apr-03	1994	JasonKidd	PG	2002-2003	NewJerseyNets
30	West	6-Apr-03	1992	ShaquilleO'Neal	C	2002-2003	LosAngelesLakers
22	East	30-Mar-03	2001	RichardJefferson	SF	2002-2003	NewJerseyNets
26	West	30-Mar-03	1997	TimDuncan	FC	2002-2003	SanAntonioSpurs
28	East	23-Mar-03	1996	BenWallace	FC	2002-2003	DetroitPistons
25	West	23-Mar-03	1996	PejaStojakovic	F	2002-2003	SacramentoKings
27	East	16-Mar-03	1996	AllenIverson	G	2002-2003	PhiladelphiaSixers
26	West	16-Mar-03	1999	SteveFrancis	G	2002-2003	HoustonRockets
23	East	9-Mar-03	1997	TracyMcGrady	GF	2002-2003	OrlandoMagic
30	West	9-Mar-03	1992	ShaquilleO'Neal	C	2002-2003	LosAngelesLakers
40	East	2-Mar-03	1984	MichaelJordan	SG	2002-2003	WashingtonWizards
27	West	2-Mar-03	1996	RayAllen	SG	2002-2003	SeattleSuperSonics
23	East	23-Feb-03	1997	TracyMcGrady	GF	2002-2003	OrlandoMagic
24	West	23-Feb-03	1996	KobeBryant	SG	2002-2003	LosAngelesLakers
31	East	16-Feb-03	1993	AllanHouston	G	2002-2003	NewYorkKnicks
26	West	16-Feb-03	1997	TimDuncan	FC	2002-2003	SanAntonioSpurs
26	East	2-Feb-03	1997	ChaunceyBillups	G	2002-2003	DetroitPistons
24	West	2-Feb-03	1996	KobeBryant	SG	2002-2003	LosAngelesLakers
25	East	26-Jan-03	1998	PaulPierce	SF	2002-2003	BostonCeltics
26	West	26-Jan-03	1997	TimDuncan	FC	2002-2003	SanAntonioSpurs
26	East	19-Jan-03	1996	AntoineWalker	F	2002-2003	BostonCeltics
26	West	19-Jan-03	1999	SteveFrancis	G	2002-2003	HoustonRockets
24	East	12-Jan-03	1996	JermaineO'Neal	FC	2002-2003	IndianaPacers
24	West	12-Jan-03	1996	KobeBryant	SG	2002-2003	LosAngelesLakers
26	West	12-Jan-03	1996	StephonMarbury	G	2002-2003	PhoenixSuns
40	East	5-Jan-03	1984	MichaelJordan	SG	2002-2003	WashingtonWizards
24	West	5-Jan-03	1998	DirkNowitzki	PF	2002-2003	DallasMavericks
32	East	29-Dec-02	1993	LuciousHarris	SG	2002-2003	NewJerseyNets
26	West	29-Dec-02	1997	TimDuncan	FC	2002-2003	SanAntonioSpurs
29	East	22-Dec-02	1994	JasonKidd	PG	2002-2003	NewJerseyNets
26	West	22-Dec-02	1997	TimDuncan	FC	2002-2003	SanAntonioSpurs
26	East	15-Dec-02	1996	AntoineWalker	F	2002-2003	BostonCeltics
29	West	15-Dec-02	1993	ChrisWebber	F-C	2002-2003	SacramentoKings
25	East	8-Dec-02	1998	PaulPierce	SF	2002-2003	BostonCeltics
24	West	8-Dec-02	1996	KobeBryant	SG	2002-2003	LosAngelesLakers
27	East	1-Dec-02	1996	AllenIverson	G	2002-2003	PhiladelphiaSixers
26	West	1-Dec-02	1996	StephonMarbury	G	2002-2003	PhoenixSuns
27	East	24-Nov-02	1996	AllenIverson	G	2002-2003	PhiladelphiaSixers
26	West	24-Nov-02	1995	KevinGarnett	PF	2002-2003	MinnesotaTimberwolves
23	East	17-Nov-02	1999	MettaWorldPeace	SF	2002-2003	IndianaPacers
23	West	17-Nov-02	1998	RashardLewis	F	2002-2003	SeattleSuperSonics
28	East	10-Nov-02	1995	JerryStackhouse	SF	2002-2003	WashingtonWizards
24	West	10-Nov-02	1998	DirkNowitzki	PF	2002-2003	DallasMavericks
30	East	3-Nov-02	1994	GlennRobinson	SF	2002-2003	AtlantaHawks
24	West	3-Nov-02	1996	KobeBryant	SG	2002-2003	LosAngelesLakers
25	East	12-Apr-04	2000	JamaalMagloire	C	2003-2004	NewOrleansHornets
19	West	12-Apr-04	2003	CarmeloAnthony	F	2003-2004	DenverNuggets
23	East	5-Apr-04	2001	RichardJefferson	SF	2003-2004	NewJerseyNets
25	West	5-Apr-04	1998	DirkNowitzki	PF	2003-2004	DallasMavericks
24	East	29-Mar-04	1999	MettaWorldPeace	SF	2003-2004	IndianaPacers
25	West	29-Mar-04	1996	KobeBryant	SG	2003-2004	LosAngelesLakers
27	East	21-Mar-04	1998	VinceCarter	SF	2003-2004	TorontoRaptors
31	West	21-Mar-04	1992	ShaquilleO'Neal	C	2003-2004	LosAngelesLakers
28	East	14-Mar-04	1996	ZydrunasIlgauskas	C	2003-2004	ClevelandCavaliers
19	West	14-Mar-04	2003	CarmeloAnthony	F	2003-2004	DenverNuggets
24	East	7-Mar-04	1999	LamarOdom	PF	2003-2004	MiamiHeat
23	West	7-Mar-04	2002	YaoMing	C	2003-2004	HoustonRockets
29	East	29-Feb-04	1996	BenWallace	FC	2003-2004	DetroitPistons
23	West	29-Feb-04	1999	AndreiKirilenko	PF	2003-2004	UtahJazz
22	East	22-Feb-04	2003	DwyaneWade	SG	2003-2004	MiamiHeat
25	West	22-Feb-04	1996	KobeBryant	SG	2003-2004	LosAngelesLakers
26	East	8-Feb-04	2000	KenyonMartin	F	2003-2004	NewJerseyNets
27	West	8-Feb-04	1997	TimDuncan	FC	2003-2004	SanAntonioSpurs
30	East	1-Feb-04	1994	JasonKidd	PG	2003-2004	NewJerseyNets
27	West	1-Feb-04	1995	KevinGarnett	PF	2003-2004	MinnesotaTimberwolves
22	East	25-Jan-04	2002	CarlosBoozer	PF	2003-2004	ClevelandCavaliers
27	West	25-Jan-04	1995	KevinGarnett	PF	2003-2004	MinnesotaTimberwolves
